sentence,sentiment,topic,sentence_seg,gemini_sentiment,gemini_topic
nhà trường hỗ trợ nhiều hơn về các thiết bị dạy và học .,negative,facility,nhà_trường hỗ_trợ nhiều hơn về các thiết_bị dạy và học .,negative,facility
đề nghị nhà trường có thêm phòng lab để sinh viên học phần nghe được dễ dàng và có hiệu quả hơn !,negative,facility,đề_nghị nhà_trường có thêm phòng lab để sinh_viên học_phần nghe được dễ_dàng và có hiệu_quả hơn !,negative,facility
"phòng máy , thết bị cũ .",negative,facility,"phòng máy , thết bị cũ .",negative,facility
"phòng thực hành về java nhưng máy tính lại không cài netbean , em mong trong những học kỳ sau trường sẽ khắc phục vấn đề này .",negative,facility,"phòng thực_hành về java nhưng máy_tính lại không cài netbean , em mong trong những học_kỳ sau trường sẽ khắc_phục vấn_đề này .",negative,facility
"sửa lại micro và loa phòng học , phòng wzjwz165 .",negative,facility,"sửa lại micro và loa phòng học , phòng wzjwz165 .",negative,facility
"sử dụng website môn học , trang thiết bị phục vu giảng dạy còn hạn chế máy chiếu quá mờ , phòng học bị nắng .",negative,facility,"sử_dụng website môn_học , trang thiết_bị phục vu giảng_dạy còn hạn_chế máy_chiếu quá mờ , phòng học bị nắng .",negative,facility
"thay vì đầu tư vào phòng máy , nhà trường nên nâng cấp hệ thống wifi để sinh viên có thể truy cập wifi tốt cho dù có phải ngồi trong phòng học phòng bình thường , không phải phòng máy .",negative,facility,"thay_vì đầu_tư vào phòng máy , nhà_trường nên nâng_cấp hệ_thống wifi để sinh_viên có_thể truy_cập wifi tốt cho_dù có phải ngồi trong phòng học phòng bình_thường , không phải phòng máy .",negative,facility
cần bảo trì máy tính nhất là bàn phím và chuột .,negative,facility,cần bảo_trì máy_tính nhất là bàn_phím và chuột .,negative,facility
"chất lượng phòng học cần được cải thiện , cần cải thiện hệ thống điện , máy chiếu cần được cải thiện .",negative,facility,"chất_lượng phòng học cần được cải_thiện , cần cải_thiện hệ_thống điện , máy_chiếu cần được cải_thiện .",negative,facility
"nhiều bạn trong lớp đã phải mua thêm ram , ổ cứng để đáp ứng nhu cầu .",negative,facility,"nhiều bạn trong lớp đã phải mua thêm ram , ổ_cứng để đáp_ứng nhu_cầu .",negative,facility
cần cập nhật trang thiết bị mô phỏng lại những quá trình được dạy .,negative,facility,cần cập_nhật trang thiết_bị mô_phỏng lại những quá_trình được dạy .,negative,facility
"phòng lab thực hành đã quá cũ nát , nên cải tiến và xây dựng hệ thống phòng lab để sinh viên có thể thực hành các kỹ năng của môn học này .",negative,facility,"phòng lab thực_hành đã quá cũ nát , nên cải_tiến và xây_dựng hệ_thống phòng lab để sinh_viên có_thể thực_hành các kỹ_năng của môn_học này .",negative,facility
phòng wzjwz64 lắp đèn gây khó chịu mắt quá .,negative,facility,phòng wzjwz64 lắp đèn gây khó_chịu mắt quá .,negative,facility
"máy chiếu phòng wzjwz126 quá mờ , đề nghị được sửa sớm để phục vụ tốt hơn cho học tập .",negative,facility,"máy_chiếu phòng wzjwz126 quá mờ , đề_nghị được sửa sớm để phục_vụ tốt hơn cho học_tập .",negative,facility
phòng học cần có rèm để máy chiếu được rõ ràng .,negative,facility,phòng học cần có rèm để máy_chiếu được rõ_ràng .,negative,facility
thiết bị để làm còn ít .,negative,facility,thiết_bị để làm còn ít .,negative,facility
nâng cấp hệ thống máy tình phòng thực hành .,negative,facility,nâng_cấp hệ_thống máy tình phòng thực_hành .,negative,facility
dạy hơi chán .,negative,lecturer,dạy hơi chán .,negative,lecturer
thầy thường xuyên trả lời trễ không trả lời mail của sinh viên .,negative,lecturer,thầy thường_xuyên trả_lời trễ không trả_lời mail của sinh_viên .,negative,lecturer
giảng viên hay không đúng giờ .,negative,lecturer,giảng_viên hay không đúng giờ .,negative,lecturer
bài giảng chưa sâu .,negative,lecturer,bài giảng chưa sâu .,negative,training_program
đôi khi cô hơi hình thức hóa một số vấn đề .,negative,lecturer,đôi_khi cô hơi hình_thức_hóa một_số vấn_đề .,negative,lecturer
giảng dạy hơi dài dòng lan man dẫn đến khó hiểu .,negative,lecturer,giảng_dạy hơi dài_dòng lan_man dẫn đến khó hiểu .,negative,lecturer
"viết đi viết lại nhiều lần nên giờ tóm gọn vài từ thôi doubledot độc đoán , phân biệt đối xử , "" gia trưởng "" , cứng nhắc , lời nói đôi khi phản sư phạm , xúc phạm người nghe .",negative,lecturer,"viết đi viết lại nhiều lần nên giờ tóm gọn vài từ thôi doubledot độc_đoán , phân_biệt đối_xử , "" gia_trưởng "" , cứng_nhắc , lời_nói đôi_khi phản sư_phạm , xúc_phạm người nghe .",negative,lecturer
"thầy cho các bài thực hành cần dàn trải đầy đủ nội dung học , đề thi thực hành dài .",negative,lecturer,"thầy cho các bài thực_hành cần dàn_trải đầy_đủ nội_dung học , đề thi thực_hành dài .",negative,training_program
