sentence,sentiment,topic,sentence_seg
slide giáo trình đầy đủ .,positive,training_program,slide giáo_trình đầy_đủ .
"nhiệt tình giảng dạy , gần gũi với sinh viên .",positive,lecturer,"nhiệt_tình giảng_dạy , gần_gũi với sinh_viên ."
đi học đầy đủ full điểm chuyên cần .,negative,training_program,đi học đầy_đủ full điểm chuyên_cần .
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,negative,lecturer,chưa áp_dụng công_nghệ thông_tin và các thiết_bị hỗ_trợ cho việc giảng_dạy .
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",positive,lecturer,"thầy giảng bài hay , có nhiều bài_tập ví_dụ ngay trên lớp ."
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",positive,lecturer,"giảng_viên đảm_bảo thời_gian lên_lớp , tích_cực trả_lời câu hỏi của sinh_viên , thường_xuyên đặt câu hỏi cho sinh_viên ."
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",neutral,others,"em sẽ nợ môn này , nhưng em sẽ học lại ở các học_kỳ kế_tiếp ."
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",negative,training_program,"thời_lượng học quá dài , không đảm_bảo tiếp_thu hiệu_quả ."
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",negative,training_program,"nội_dung môn_học có phần thiếu trọng_tâm , hầu_như là chung_chung , khái_quát khiến sinh_viên rất khó nắm được nội_dung môn_học ."
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,negative,training_program,cần nói rõ hơn bằng cách trình_bày lên bảng thay_vì nhìn vào slide .
thầy rất tận tình và đi dạy rất đúng giờ .,positive,lecturer,thầy rất tận_tình và đi dạy rất đúng giờ .
dễ bị áp lực .,negative,others,dễ bị áp_lực .
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",neutral,lecturer,"đang dạy thầy wzjwz208 đi qua nước_ngoài giữa_chừng , thầy wzjwz209 dạy thay ."
môn học còn dễ cần nâng độ khó lên nữa .,negative,training_program,môn_học còn dễ cần nâng độ khó lên nữa .
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",negative,training_program,"có_thể cho sinh_viên đi thăm quan nhiều công_ty xem quy_mô và cách làm_việc , để giúp hiểu rõ hơn vê ngành mình đang học ."
hài lòng về tất cả .,positive,others,hài_lòng về tất_cả .
"nhiệt tình , vui vẻ .",positive,lecturer,"nhiệt_tình , vui_vẻ ."
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,positive,lecturer,thấy nhiệt_tình trong việc trao_đổi giúp_đỡ về học_tập .
phong cách giảng bài của thầy rất gần gũi với sinh viên !,positive,lecturer,phong_cách giảng bài của thầy rất gần_gũi với sinh_viên !
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,positive,lecturer,giảng_dạy kết_hợp các hoạt_động giải_trí có hiệu_quả .
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,negative,training_program,cần tạo các buổi seminar để sinh_viên có_thể hiểu sâu thêm về các vấn_đề trong chuyên_ngành nhưng không có trong môn_học .
tiết học thoải mái .,positive,lecturer,tiết học thoải_mái .
"thầy nhiệt tình , quan tâm tới sinh viên .",positive,lecturer,"thầy nhiệt_tình , quan_tâm tới sinh_viên ."
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",positive,lecturer,"giảng_dạy nhiệt_tình , hướng_dẫn chi_tiết đến lúc sinh_viên hiểu !"
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",negative,training_program,"chưa có nhiều tiết làm bài_tập , chữa bài_tập trên lớp ."
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,positive,training_program,tài_liệu được bổ_sung nhiều và đầy_đủ trên moodle .
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,negative,lecturer,giảng_viên phải nên cho ví_dụ cụ_thể những phần quan_trọng nên nói kỹ có_thể lấy ví_dụ minh_họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm_giác chán cho sinh_viên .
nên biên soạn một tài liệu của chính trường ta .,negative,training_program,nên biên_soạn một tài_liệu của chính_trường ta .
không giúp đỡ sinh viên trong những vấn đề xung quanh .,negative,lecturer,không giúp_đỡ sinh_viên trong những vấn_đề xung_quanh .
"bài tập đa dạng , cụ thể .",positive,training_program,"bài_tập đa_dạng , cụ_thể ."
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",negative,training_program,"nội_dung giảng_viên yêu câu seminar hầu_như không có tài_liệu tham_khảo và rất ít ứng_dụng trong thực_tế , đề_nghị có sự thay_đổi trong những năm_học tới ."
slide up đầy đủ trước mỗi buổi học .,positive,training_program,slide up đầy_đủ trước mỗi buổi học .
"nội dung giảng dạy quá nhàm chán , khô khan .",negative,training_program,"nội_dung giảng_dạy quá nhàm_chán , khô_khan ."
lượng kiến thức quá nhiều trong một học kỳ .,negative,training_program,lượng kiến_thức quá nhiều trong một học_kỳ .
thầy chép bảng nhiều .,negative,lecturer,thầy chép bảng nhiều .
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",positive,lecturer,"thầy tận_tình hướng_dẫn cách làm , giải_quyết những thắc_mắc của sinh_viên ."
"chúc các thầy cô , anh chị làm việc vui vẻ !",positive,others,"chúc các thầy cô , anh_chị làm_việc vui_vẻ !"
"hay , nhiệt tình , dễ hiểu .",positive,lecturer,"hay , nhiệt_tình , dễ hiểu ."
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",negative,lecturer,"mặc_dù nhiệt_tình nhưng khi truyền_đạt thì lại khó hiểu , sử_dụng ngôn_từ gây khó_khăn cho việc hiểu bài ."
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",positive,lecturer,"thầy dạy khá hay , cung_cấp nhiều thông_tin liên_quan đến môn_học , đưa ra nhiều hướng giải_quyết khi sinh_viên gặp vấn_đề khó_khăn với đồ_án !"
hy vọng học kỳ sau có thể học được với cô .,positive,lecturer,hy_vọng học_kỳ sau có_thể học được với cô .
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,negative,training_program,nhiều khi em lên_lớp_học môn đặc_tả hình_thức giống như lên_lớp_học mà không biết mình học cái gì .
trong khi giảng nói nhỏ quá .,negative,lecturer,trong khi giảng nói_nhỏ quá .
thực hành khó hiểu .,negative,training_program,thực_hành khó hiểu .
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",positive,lecturer,"thầy rất tận_tâm nhiệt_tình , quan_tâm đến sinh_viên , giảng bài dễ hiểu , kiến_thức sâu_rộng am_hiểu cao ."
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",positive,lecturer,"cô dạy với nhiệt_huyết của mình , dù như thế_nào , cô vẫn luôn mỉm cười và kiên_trì giảng bài cho chúng em đến khi chúng em hiểu ."
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",positive,lecturer,"cô lên_lớp đúng giờ , giảng bài rất dễ hiểu cho sinh_viên ."
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",negative,lecturer,"những thông_tin cần_thiết như doubledot thời_gian dealine , cách nộp bài thường không dặn lớp thực_hành thứ hai ."
"thầy nhiệt tình , dễ chịu .",positive,lecturer,"thầy nhiệt_tình , dễ_chịu ."
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",negative,lecturer,"giảng_viên chưa đi_sâu vào bản_chất của vấn_đề , em chỉ học thôi mà không biết bản_chất của nó là gì nó có ứng_dụng gì sau_này cho chuyên nghành của em ."
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,positive,lecturer,đặc_biệt hơn là thầy đã bỏ rất nhiều công_sức trong việc ra bài_tập và chấm điểm một_cách rõ_ràng và minh_bạch .
cô rất nhiệt tình và tận dụng tốt thời gian .,positive,training_program,cô rất nhiệt_tình và tận_dụng tốt thời_gian .
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",positive,lecturer,"giảng_viên tận_tâm , nhiệt_huyết trong giảng_dạy ."
"thầy nhiệt tình , gần gũi .",positive,lecturer,"thầy nhiệt_tình , gần_gũi ."
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",positive,lecturer,"giảng_viên tận_tâm , giảng dễ hiểu , dễ tiếp_thu ."
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,neutral,lecturer,tạo ra sự cạnh_tranh trong mỗi buổi thực_hành .
bài tập và có code tham khảo .,positive,training_program,bài_tập và có code tham_khảo .
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",negative,facility,"cần nâng_cấp hệ_thống wifi , vì khi vào phòng thực_hành , sinh_viên không_thể truy_cập internet , buộc phải xin phép ra ngoài để làm bài ."
tài liệu không chi tiết lắm .,negative,training_program,tài_liệu không chi_tiết lắm .
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",positive,lecturer,"tận_tâm , nhiệt_tình , vui_tính , dễ gần với sinh_viên ."
thầy dạy rất hay và nhiệt tình .,positive,lecturer,thầy dạy rất hay và nhiệt_tình .
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",negative,lecturer,"thầy dạy không đúng giờ , không hướng_dẫn sinh_viên thực_hành ."
giúp đỡ học sinh quá ít .,negative,lecturer,giúp_đỡ học_sinh quá ít .
cô dạy buồn ngủ quá .,negative,lecturer,cô dạy buồn_ngủ quá .
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,negative,training_program,nên kinh mong nội_dung môn_học được giảm tải cho phù_hợp hơn với đặc_thù của một trường công_nghệ thông_tin .
thầy tận tình vui tính .,positive,lecturer,thầy tận_tình vui_tính .
cô lại kiểu khó tính nữa .,negative,lecturer,cô lại kiểu khó_tính nữa .
tạo hứng thú cho sinh viên .,positive,lecturer,tạo hứng_thú cho sinh_viên .
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,positive,lecturer,cô giảng hay cuốn_hút và truyền_đạt dễ hiểu .
có hứng thú học .,positive,lecturer,có hứng_thú học .
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,neutral,training_program,ôn_tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .
"giảng viên hướng dẫn cụ thể , chi tiết .",positive,lecturer,"giảng_viên hướng_dẫn cụ_thể , chi_tiết ."
giáo trình quá ít và nội dung không khác nhau là mấy .,negative,training_program,giáo_trình quá ít và nội_dung không khác nhau là mấy .
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",negative,lecturer,"giáo_viên nghỉ dạy liên_tục , cuối học_kỳ lại tăng học bù , những tiết học bù đó đã ảnh_hưởng đến những đồ_án , và trễ deadline ."
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",negative,lecturer,"giáo_viên lúc dạy lúc không , không dạy cũng không thông_báo , sinh_viên tốn thời_gian , công_sức , tiền_bạc rồi ngồi đợi và đi về ."
"cần có một phòng máy tốt hơn , hiện đại hơn .",negative,facility,"cần có một phòng máy tốt hơn , hiện_đại hơn ."
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,negative,lecturer,thầy nên cho làm bài_tập tương_tự nhau nhiều hơn một_vài bài để tránh tình_trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",negative,lecturer,"không ngờ môn này lại chán đến như_vậy , không học được gì từ môn này , thầy dạy chán kinh_khủng , hay đi trễ từ 30 - 45 phút , không nhiệt_tình ."
giảng viên đánh giá sai điểm và năng lực của học sinh .,negative,lecturer,giảng_viên đánh_giá sai điểm và năng_lực của học_sinh .
không đáp ứng được đề cương môn học đề ra .,negative,training_program,không đáp_ứng được đề_cương môn_học đề ra .
thầy nên hướng dẫn thực hành nhiều hơn .,negative,lecturer,thầy nên hướng_dẫn thực_hành nhiều hơn .
"giảng viên thân thiện , quan tâm tới sinh viên .",positive,lecturer,"giảng_viên thân_thiện , quan_tâm tới sinh_viên ."
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",negative,training_program,"môn lập_trình hướng đối_tượng nên cập_nhật thêm những nội_dung mới , dễ hiểu và giảng_giải cụ_thể hơn ."
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",positive,lecturer,"giáo_viên nhiệt_tình , tâm_huyết , khả_năng truyền_đạt tốt ."
thầy dạy rất tốt và nhiệt tình .,positive,lecturer,thầy dạy rất tốt và nhiệt_tình .
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",negative,lecturer,"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe ."
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",negative,lecturer,"bài_tập cô đưa ra nhiều , và khó tìm_hiểu , với kiến thực_hiện_tại của sinh_viên thì khó có_thể tìm_hiểu và làm tốt bài_tập cô ra ."
bài tập và hoạt động nhóm còn ít .,negative,training_program,bài_tập và hoạt_động nhóm còn ít .
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",positive,lecturer,"giảng_viên rất nhiệt_tình , phương_pháp giảng_dạy hay , sinh_viên nắm_bắt kiến_thức ngay trên lớp ."
cô hướng dẫn thực hành khá đầy đủ .,positive,lecturer,cô hướng_dẫn thực_hành khá đầy_đủ .
được học nhiều kinh nghiệm từ thầy wzjwz163 .,positive,lecturer,được học nhiều kinh_nghiệm từ thầy wzjwz163 .
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",positive,lecturer,"kiến_thức của thầy rất tốt , bảo_đảm giờ lên_lớp ."
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,negative,training_program,hiện_tại em chưa thấy tác_dụng gì nhiều khi học môn này .
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,negative,facility,cải_thiện lại cơ_sở vật_chất máy_chiếu trong phòng học .
dạy không phù hợp với cách học của em .,negative,lecturer,dạy không phù_hợp với cách học của em .
giải thích nội dung mới rõ ràng .,positive,lecturer,giải_thích nội_dung mới rõ_ràng .
lớp học quá đông !,negative,training_program,lớp_học quá đông !
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",negative,training_program,"môn căn_bản mà thầy không dạy cho sinh_viên kỹ , gây không hiểu , mất căn_bản ."
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",negative,lecturer,"giảng_viên chưa cho bài_tập về nhà để sinh_viên làm_nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp_án ."
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",negative,training_program,"mà hiện_tại trường ta chưa có , đây là thiệt_thòi lớn đối_với tụi em ."
tôi cảm thấy giảng viên dạy rất tốt .,positive,lecturer,tôi cảm_thấy giảng_viên dạy rất tốt .
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",negative,lecturer,"không biết thầy nào dạy chính_thức , mà học thường nghỉ không thông_báo trước để sinh_viên đứng chờ sắp hết tiết rồi tự về nhiều lần ."
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,negative,others,cần có sự tương_tác giữa giảng_viên và sinh_viên nhiều hơn .
giảng viên thân thiện nhiệt tình cởi mở .,positive,lecturer,giảng_viên thân_thiện nhiệt_tình cởi_mở .
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",positive,lecturer,"giáo_viên có mời các công_ty về trình_bày , giúp sinh_viên cập_nhật kiến_thức thực_tiễn ."
coi lại thái độ giảng viên thực hành .,negative,lecturer,coi lại thái_độ giảng_viên thực_hành .
